hash,path,is_app,points,style_points,time,lines_added,lines_removed,files,message,timestamp
09caedabb6997799be7e945a6800afe39edf87e8,.gtm/junit: spaceorbtest.testspaceorbcannotabsorbsanotherorbifithasmoreenergy.app,True,0,0,5,0,0,1,first done?,1614612733
9e03963810356656f577aa42d0b430a656f94095,pr/pr04stock,False,0,0,180,18,13,2,1,1613411374
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex05mysticorbs,False,14.0,1.0,60,1,1,1,added factory class,1614536021
32472c07e5a895570c665fbe1d0e7a141f54a2d5,ex/ex03bookshelf,False,15.0,1.0,108,2,5,1,getbookbyauthor method made more efficient.,1613316212
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,.gtm/application: main.app,True,0,0,1341,0,0,1,- person public list<book> getbooks() to be implemented,1613116651
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,lx/lx03recursion,False,0.99,1.0,54,5,2,1,lx4,1620422729
9e03963810356656f577aa42d0b430a656f94095,.gtm/junit: tests.addblankresource.app,True,0,0,8,0,0,1,1,1615756527
33f5a3c8f62f784934631bd28c547a20b1f89545,ex/ex05mysticorbs,False,15.0,1.0,120,1,1,1,ex05,1614630794
788ae06526091b46bb54b02916c0e6bde170ffc6,tk/tk2,False,4.7,1.0,300,10,9,1,"tk2, test3",1614430243
6e59be6a69a02cf474b30c8ed84f35b016c24338,ex/ex02webbrowser,False,0,0,8,0,0,1,lx01,1615493609
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex11computerstore,False,20.0,1.0,240,1,1,1,pr01ex11,1618256523
db9c003daba43c4ac829e8a50f726a69a43f9e75,pr/pr03ring,False,0,0,705,16,12,2,ex00 second try,1612883000
9e03963810356656f577aa42d0b430a656f94095,.gtm/junit: ee.taltech.iti0202.files in ex06files.app,True,0,0,342,0,0,1,1,1615201806
d2024466706de8b697dd55ee19ec8a2defeff239,ex/ex11computerstore,False,20.0,1.0,60,1,1,1,ex11.,1617812860
26abbf77e39340038a011fc45ef70f8bb004a92b,pr/pr01introduction,False,5.0,1.0,60,3,3,1,ex00,1611671435
